,ru_prov,page,ru_uezd,text,alt_name,name,_type,source_url,html_text,name_modern_sp,prov_modern_sp,uezd_modern_sp,prov_stem,uezd_stem,admin_hierarchy,partof_id,admin1_partof,admin2_partof
3,Рязанскаго Намѣстничества,10,Донковскомъ уѣздѣ,"АВДУЛОВО, ИВАНОВСКОЕ тожь, село Рязанскаго Намѣстничества въ Донковскомъ уѣздѣ, Здѣсь бываетъ одна годовая ярмарка въ день Іоанна Воина, то есть Іюля 30, на которую пріѣзжаютъ купцы и крестьяне съ мѣлочными товарами.",Ивановское,Авдулово,село,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=9,"АВДУЛОВО, ИВАНОВСКОЕ тожь, </span><span class=""font0"" style=""font-style:italic;"">село</span><span class=""font0""> Рязанскаго Намѣстничества въ Донковскомъ уѣздѣ, Здѣсь бываетъ одна годовая ярмарка въ день Іоанна Воина, то есть Іюля 30, на которую пріѣзжаютъ купцы и крестьяне съ мѣлочными товарами.</span>",Авдулово,Рязанского Наместничества,Донковском уезде,рязанск,донковск,рязанск|донковск,62.0,28.0,62.0
4,Вологодскаго Намѣстничества,10,Вологодскаго уѣздѣ,"АВЖЕНСКАЯ , волость Вологодскаго Намѣстничества и уѣзду. Здѣсь бываетъ два раза въ годъ ярмарка , на коей торгуютъ Вологодскіе купцы мѣлочными товарами.",,Авженская,волость,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=9,"АВЖЕНСКАЯ , </span><span class=""font0"" style=""font-style:italic;"">волость </span><span class=""font0"">Вологодскаго Намѣстничества и уѣзду. Здѣсь бываетъ два раза въ годъ ярмарка , на коей торгуютъ Вологодскіе купцы мѣлочными товарами.</span>",Авженская,Вологодского Наместничества,Вологодского уезде,вологодск,вологодск,вологодск|вологодск,55.0,4.0,55.0
5,Костромскаго Намѣстничества,10,not_in_text,"АВРАМІЕВЪ, монастырь Костромскаго Намѣстничества, отъ города Чухломы въ 10 верстахъ. Здѣсь бываетъ ярмарка. Зри Чуxлома городъ.",,Авраміевъ,монастырь,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=9,"АВРАМІЕВЪ</span><span class=""font0"" style=""font-style:italic;"">, монастырь </span><span class=""font0"">Костромскаго Намѣстничества, отъ города Чухломы въ 10 верстахъ. Здѣсь бываетъ ярмарка. Зри </span><span class=""font0"" style=""font-style:italic;"">Чуxлома</span><span class=""font0""> городъ.</span>",Аврамиев,Костромского Наместничества,not_иn_text,кострома,нот_ин_теxт,кострома,14.0,14.0,
6,Нижегородскаго Намѣстничества,10,Арзамаскомъ уѣздѣ,"АДОВАТОВО, село Нижегородскаго Намѣстничества въ Арзамаскомъ уѣздѣ ; въ ономъ бываетъ одна въ году ярмарка.",,Адоватово,село,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=9,"АДОВАТОВО, </span><span class=""font0"" style=""font-style:italic;"">село</span><span class=""font0""> Нижегородскаго Намѣстничества въ Арзамаскомъ уѣздѣ ; въ ономъ бываетъ одна въ году ярмарка.</span>",Адоватово,Нижегородского Наместничества,Арзамаском уезде,нижегородск,арзамаск,нижегородск|арзамаск,42.0,17.0,42.0
7,Тамбовскаго Намѣстничества,10,Темниковскомъ уѣздѣ,"АКСЕЛЬ, село Тамбовскаго Намѣстничества въ Темниковскомъ уѣздѣ. Здѣсь бываетъ годовая ярмарка, сверхъ еженедѣльныхъ торговъ, въ одинадцатую пятницу по Пасхѣ; купцы сюда пріѣзжаютъ изъ ближнихъ городовъ съ шелковыми и бумажными товарами, хлѣбомъ и прочими припасами.",,Аксель,село,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=9,"АКСЕЛЬ, </span><span class=""font0"" style=""font-style:italic;"">село</span><span class=""font0""> Тамбовскаго Намѣстничества въ Темниковскомъ уѣздѣ. Здѣсь бываетъ годовая ярмарка, сверхъ еженедѣльныхъ торговъ, въ одинадцатую пятницу по Пасхѣ; купцы сюда пріѣзжаютъ изъ ближнихъ городовъ съ шелковыми и бумажными товарами, хлѣбомъ и прочими припасами.</span>",Аксель,Тамбовского Наместничества,Темниковском уезде,тамбовск,темниковск,тамбовск|темниковск,126.0,32.0,126.0
8,Синбирскаго Намѣстничества,10,not_in_text,"АЛАТЫРЬ, городъ Синбирскаго Намѣстничества. Въ уѣздѣ сего города бываетъ годовыхъ семь ярмарокъ.",,Алатырь,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=9,"АЛАТЫРЬ, </span><span class=""font0"" style=""font-style:italic;"">городъ</span><span class=""font0""> Синбирскаго Намѣстничества. Въ уѣздѣ сего города бываетъ годовыхъ семь ярмарокъ.</span>",Алатырь,Синбирского Наместничества,not_иn_text,синбирск,нот_ин_теxт,синбирск,30.0,30.0,
9,Ярославскаго Намѣстничества,11,Ярославскаго уѣздѣ,"АЛЕКСАНДРОВА ПУСТЫНЯ, село Ярославскаго Намѣстничества и уѣзду. Здѣсь бываетъ годовая ярмарка въ Іюнѣ мѣсяцѣ ; съѣзжаются купцы съ разными товарами изъ ближнихъ городовъ, а именно: Ярославля, Ростова, Романова, Углича, Борисоглѣбска , Рыбнаго , Мологи и слободы Норской.",,Александрова Пустыня,село,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=10,"АЛЕКСАНДРОВА ПУСТЫНЯ, </span><span class=""font0"" style=""font-style:italic;"">село</span><span class=""font0""> Ярославскаго Намѣстничества и уѣзду. Здѣсь бываетъ годовая ярмарка въ Іюнѣ мѣсяцѣ ; съѣзжаются купцы съ разными товарами изъ ближнихъ городовъ, а именно: Ярославля, Ростова, Романова, Углича, Борисоглѣбска , Рыбнаго , Мологи и слободы Норской.</span>",Александрова Пустыня,Ярославского Наместничества,Ярославского уезде,ярославск,ярославск,ярославск|ярославск,136.0,39.0,136.0
10,Пензенскаго Намѣстничества,11,Керенскомъ уѣздѣ,"АЛЕКСАНДРОВСКОЕ, ЧЕРКАСКОЕ тожь, село Пензенскаго Намѣстничества въ Керенскомъ уѣздѣ. Здѣсь бываетъ въ году ярмарка въ Іюнѣ мѣсяцѣ ; купцы пріѣзжаютъ изъ близъ лежащихъ городовъ съ разными мѣлочными товарами ; торгуютъ также лошадьми, рогатымъ скотомъ и прочимъ.",Черкаское,Александровское,село,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=10,"АЛЕКСАНДРОВСКОЕ, ЧЕРКАСКОЕ тожь, </span><span class=""font0"" style=""font-style:italic;"">село</span><span class=""font0""> Пензенскаго Намѣстничества въ Керенскомъ уѣздѣ. Здѣсь бываетъ въ году ярмарка въ Іюнѣ мѣсяцѣ ; купцы пріѣзжаютъ изъ близъ лежащихъ городовъ съ разными мѣлочными товарами ; торгуютъ также лошадьми, рогатымъ скотомъ и прочимъ.</span>",Александровское,Пензенского Наместничества,Керенском уезде,пензенск,керенск,пензенск|керенск,74.0,22.0,74.0
11,Тульскаго Намѣстничества,11,not_in_text,"АЛЕКСИНЪ, городъ Тульскаго Намѣстничества. Здѣсь бываютъ двѣ въ году ярмарки: первая Іюля 1, вторая Августа 29 дня. На оныя пріѣзжаютъ съ разными москотильными товарами.",,Алексинъ,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=10,"АЛЕКСИНЪ, </span><span class=""font0"" style=""font-style:italic;"">городъ</span><span class=""font0""> Тульскаго Намѣстничества. Здѣсь бываютъ двѣ въ году ярмарки: первая Іюля 1, вторая Августа 29 дня. На оныя пріѣзжаютъ съ разными москотильными товарами.</span>",Алексин,Тульского Наместничества,not_иn_text,тульск,нот_ин_теxт,тульск,35.0,35.0,
12,Воронежскомъ Намѣстничества,11,not_in_text,"АЛЕКСѢЕВКА, слобода Графа Шереметева, въ Воронежскомъ Намѣстничествѣ около слободы же Усерда. Здѣсь бываетъ въ годъ четыре ярмарки: первая на день Алексія человѣка Божія, вторая о Троицкой недѣлѣ , третія въ Воздвиженіе честнаго Креста, четвертая на день святыхъ мученикъ Космы и Даміана Ноября 1 дня; иностранныхъ купцовъ не бываетъ, а пріѣзжаютъ Россійскіе съ разными товарами.",,Алексѣевка,слобода,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=10,"АЛЕКСѢЕВКА, </span><span class=""font0"" style=""font-style:italic;"">слобода </span><span class=""font0"">Графа Шереметева, въ Воронежскомъ Намѣстничествѣ около слободы же Усерда. Здѣсь бываетъ въ годъ четыре ярмарки: первая на день Алексія человѣка Божія, вторая о Троицкой недѣлѣ , третія въ Воздвиженіе честнаго Креста, четвертая на день святыхъ мученикъ Космы и Даміана Ноября 1 дня; иностранныхъ купцовъ не бываетъ, а пріѣзжаютъ Россійскіе съ разными товарами.</span>",Алексеевка,Воронежском Наместничества,not_иn_text,воронежск,нот_ин_теxт,воронежск,5.0,5.0,
